Name	Type	Category	Power	Acc	PP	Effect
Explosion	Normal	Physical	250	100%	5	The user attacks everything around it by causing a tremendous explosion. The user faints upon using this move.
Catastropika	Electric	Physical	210	—	1	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Pulverizing Pancake	Normal	Physical	210	—	1	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Self-Destruct	Normal	Physical	200	100%	8	The user attacks everything around it by causing an explosion. The user faints upon using this move.
Light That Burns the Sky	Psychic	Special	200	—	1	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Searing Sunraze Smash	Steel	Physical	200	—	1	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Menacing Moonraze Maelstrom	Ghost	Special	200	—	1	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Oceanic Operetta	Water	Special	195	—	1	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Soul-Stealing 7-Star Strike	Ghost	Physical	195	—	1	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
10,000,000 Volt Thunderbolt	Electric	Special	195	—	1	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Let’s Snuggle Forever	Fairy	Physical	190	—	1	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Splintered Stormshards	Rock	Physical	190	—	1	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Genesis Supernova	Psychic	Special	185	—	1	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Clangorous Soulblaze	Dragon	Special	185	—	1	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
V-create	Fire	Physical	180	95%	5	With a hot flame on its forehead, the user hurls itself at its target. This lowers the user’s Defense, Sp. Def, and Speed stats.
Sinister Arrow Raid	Ghost	Physical	180	—	1	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Malicious Moonsault	Dark	Physical	180	—	1	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Stoked Sparksurfer	Electric	Special	175	—	1	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Prismatic Laser	Psychic	Special	160	100%	10	The user shoots powerful lasers using the power of a prism. The user can't move on the next turn.
Eternabeam	Dragon	Special	160	90%	5	This is Eternatus’s most powerful attack in its original form. The user can’t move on the next turn.
Gigaton Hammer	Steel	Physical	160	100%	5	The user swings its whole body around to attack with its huge hammer. This move can't be used twice in a row.
Hyper Beam	Normal	Special	150	90%	8	The target is attacked with a powerful beam. The user can’t move on the next turn.
Focus Punch	Fighting	Physical	150	100%	20	The user focuses its mind before launching a punch. This move fails if the user is hit before using the move.
Eruption	Fire	Special	150	100%	5	The user attacks opposing Pokémon with explosive fury. The lower the user's HP, the lower the move's power.
Blast Burn	Fire	Special	150	90%	5	The target is razed by a fiery explosion. The user can't move on the next turn.
Hydro Cannon	Water	Special	150	90%	5	The target is hit with a watery blast. The user can't move on the next turn.
Water Spout	Water	Special	150	100%	8	The user spouts water to damage opposing Pokémon. The lower the user’s HP, the lower the move’s power.
Frenzy Plant	Grass	Special	150	90%	5	The user slams the target with the roots of an enormous tree. The user can't move on the next turn.
Giga Impact	Normal	Physical	150	90%	8	The user charges at the target using every bit of its power. The user can’t move on the next turn.
Rock Wrecker	Rock	Physical	150	90%	5	The user launches a huge boulder at the target to attack. The user can't move on the next turn.
Head Smash	Rock	Physical	150	80%	5	The user attacks the target with a hazardous full-power headbutt. This also damages the user terribly.
Roar of Time	Dragon	Special	150	90%	5	The user blasts the target with power that distorts even time. The user can't move on the next turn.
Shell Trap	Fire	Special	150	100%	5	The user sets a shell trap. If the user is hit by a physical move, the trap will explode and inflict damage on opposing Pokémon.
Mind Blown	Fire	Special	150	100%	5	The user attacks everything around it by causing its own head to explode. This also damages the user.
